,compSize,skill,experience,education,salary
269,1250.0,11,4.0,2,19.0
270,2000.0,8,4.0,2,27.5
271,100.0,4,4.0,2,18.0
272,1250.0,8,0.0,2,15.0
273,1250.0,7,4.0,2,15.0
274,100.0,8,4.0,2,27.5
275,100.0,5,4.0,2,12.5
276,1250.0,0,4.0,2,11.5
277,15.0,4,4.0,2,22.5
278,2000.0,4,4.0,2,25.5
279,1250.0,13,2.0,2,8.5
280,2000.0,8,2.0,2,16.0
281,2000.0,5,4.0,2,17.5
282,32.5,16,4.0,0,20.0
283,100.0,9,2.0,1,8.0
284,325.0,17,7.5,2,37.5
285,100.0,8,4.0,2,27.5
286,2000.0,7,2.0,2,12.0
287,1250.0,6,4.0,2,22.5
288,325.0,9,2.0,2,9.5
289,1250.0,1,4.0,2,17.5
290,325.0,5,4.0,2,15.0
291,1250.0,8,7.5,2,13.5
292,2000.0,2,4.0,2,27.5
293,325.0,6,4.0,2,15.0
294,1250.0,8,4.0,2,15.0
295,2000.0,5,4.0,2,19.0
296,2000.0,4,4.0,2,30.0
297,32.5,3,7.5,1,20.0
298,1250.0,7,2.0,2,15.0
299,100.0,7,2.0,2,9.5
300,2000.0,11,4.0,2,12.5
301,1250.0,9,4.0,2,11.5
302,32.5,10,2.0,2,7.0
303,1250.0,6,7.5,2,26.5
304,100.0,2,4.0,2,21.5
305,2000.0,11,4.0,2,30.0
306,325.0,8,2.0,1,10.5
307,2000.0,12,4.0,2,21.5
308,100.0,13,4.0,2,12.5
309,1250.0,4,2.0,2,21.0
310,325.0,10,4.0,2,9.0
311,2000.0,13,4.0,2,20.0
312,1250.0,8,4.0,2,15.0
313,32.5,3,4.0,1,21.5
314,1250.0,2,0.0,2,9.0
315,1250.0,5,2.0,2,19.5
316,100.0,7,4.0,2,20.0
317,2000.0,12,4.0,2,20.0
318,100.0,11,4.0,1,12.5
319,100.0,9,4.0,2,20.0
320,1250.0,12,4.0,2,20.0
321,1250.0,11,4.0,2,22.5
322,100.0,4,2.0,2,7.0
323,1250.0,9,4.0,2,37.5
324,325.0,8,4.0,2,15.0
325,2000.0,11,4.0,2,11.5
326,100.0,5,4.0,2,9.0
327,2000.0,11,7.5,2,30.0
328,2000.0,11,4.0,2,25.0
329,1250.0,9,7.5,2,25.0
330,100.0,13,7.5,2,10.0
331,2000.0,12,4.0,1,9.0
332,1250.0,7,4.0,2,20.0
333,32.5,6,4.0,2,12.0
334,1250.0,2,4.0,2,11.5
335,2000.0,7,4.0,2,27.5
336,2000.0,3,0.0,2,11.5
337,325.0,2,2.0,2,27.5
338,325.0,8,4.0,0,18.0
339,100.0,9,2.0,2,22.5
340,1250.0,0,4.0,2,21.5
341,325.0,7,4.0,2,12.0
342,2000.0,8,4.0,2,20.0
343,2000.0,8,4.0,1,14.0
344,325.0,10,4.0,2,8.0
345,100.0,10,4.0,1,9.5
346,325.0,13,4.0,1,20.0
347,325.0,14,4.0,1,17.5
348,1250.0,2,4.0,2,18.0
349,100.0,11,4.0,2,30.0
350,325.0,10,4.0,2,17.5
351,325.0,1,4.0,2,12.0
352,325.0,8,0.0,2,7.5
